1610787600000,37462.57000000,37666.66000000,37200.00000000,37448.77000000,3311.73910400,1610791199999,123784828.41268273,79132,1713.31390300,64050800.71606176,0
1610791200000,37448.78000000,37950.00000000,37300.00000000,37410.66000000,4139.97880700,1610794799999,155846935.36351839,96097,1954.08802200,73580342.23717523,0
1610794800000,37410.67000000,37838.23000000,37179.41000000,37680.00000000,2918.80035000,1610798399999,109448933.45229068,98264,1554.10738400,58282228.87935096,0
1610798400000,37680.00000000,37886.00000000,36712.00000000,37357.15000000,4677.64126900,1610801999999,174585140.14249301,104964,2235.80570100,83495700.38012370,0
1610802000000,37357.15000000,37681.99000000,37058.76000000,37143.51000000,3239.40068800,1610805599999,121224096.96841568,85259,1607.28483500,60162129.37671651,0
1610805600000,37148.15000000,37356.26000000,36671.20000000,37232.19000000,3525.25555700,1610809199999,130637025.55110464,90082,1698.17492600,62944541.75797344,0
1610809200000,37232.19000000,37680.00000000,36983.05000000,37461.99000000,3462.80146500,1610812799999,129390956.24186780,102346,1880.20838500,70287335.60187390,0
1610812800000,37463.46000000,37713.94000000,36921.00000000,37231.41000000,3881.93071000,1610816399999,144688348.29183051,109582,1909.52655000,71195606.41501134,0
1610816400000,37231.42000000,37299.99000000,36800.00000000,36860.97000000,2512.10090800,1610819999999,92955189.33630733,70046,1212.63659400,44877028.64481656,0
1610820000000,36859.24000000,37165.90000000,36400.00000000,36484.95000000,2411.27980900,1610823599999,88899219.78650335,69608,1127.24738100,41590115.37101633,0
1610823600000,36484.95000000,36621.30000000,36200.00000000,36376.39000000,3971.87462300,1610827199999,144665412.75847924,88832,2175.88336600,79277640.73861669,0
1610827200000,36376.39000000,36800.00000000,36235.60000000,36711.16000000,3324.72866000,1610830799999,121573306.03804704,68829,1890.82510200,69120690.03196189,0
1610830800000,36713.85000000,36717.00000000,35684.82000000,35924.44000000,5744.88333200,1610834399999,207415636.40443184,105481,2039.08095600,73669691.29040968,0
1610834400000,35910.07000000,36194.53000000,35357.80000000,36121.12000000,3505.76699300,1610837999999,125545020.17201992,93386,1543.87125900,55326157.74147853,0
1610838000000,36127.20000000,36480.00000000,35900.00000000,35994.98000000,2759.38072800,1610841599999,99816503.13763424,81915,1401.91850900,50716935.38798084,0
1610841600000,35994.98000000,36472.72000000,35520.00000000,36396.42000000,3726.44550600,1610845199999,134085309.53711128,103985,1957.46251600,70454005.51107439,0
1610845200000,36396.42000000,36727.26000000,36176.66000000,36715.63000000,2847.94888400,1610848799999,103572557.59243320,67933,1650.65446400,60049202.69903055,0
1610848800000,36715.63000000,36744.05000000,36235.00000000,36419.68000000,1927.69473800,1610852399999,70310805.17210125,61836,910.16210200,33193187.34334062,0
1610852400000,36419.68000000,36541.88000000,35978.00000000,36177.00000000,2021.33177900,1610855999999,73300672.04992026,60538,954.06954200,34599084.80359322,0
1610856000000,36177.00000000,36382.38000000,35822.62000000,35847.46000000,2093.28909600,1610859599999,75569739.26789349,53616,861.15334000,31093493.92495674,0
1610859600000,35848.25000000,36009.42000000,35475.14000000,35547.13000000,2900.40794500,1610863199999,103507618.16636456,68297,1292.56868700,46142665.28656242,0
1610863200000,35547.12000000,35733.23000000,35034.96000000,35390.80000000,4077.70544400,1610866799999,144053986.81128709,84419,1762.60951800,62293524.58439225,0
1610866800000,35390.80000000,35530.00000000,34518.04000000,34760.90000000,5014.08248500,1610870399999,175408790.13568946,99290,2124.19679000,74357513.18585806,0
1610870400000,34760.91000000,34834.41000000,34300.00000000,34732.83000000,5641.05021700,1610873999999,194956387.86675457,112432,2733.28975600,94489103.56729384,0
1610874000000,34732.08000000,35188.00000000,34000.00000000,34176.77000000,5570.23129700,1610877599999,192698146.55056793,108778,2619.46937500,90658661.30071936,0
1610877600000,34176.78000000,35147.84000000,33850.00000000,34818.00000000,5718.02904900,1610881199999,197387959.52060657,106160,3011.33603700,104059630.69026929,0
1610881200000,34816.26000000,35400.00000000,34727.85000000,35267.17000000,3861.65969400,1610884799999,135399244.37169309,79936,1736.68097000,60903773.65504362,0
1610884800000,35270.00000000,35545.34000000,34695.46000000,35124.69000000,3962.00267900,1610888399999,139632993.37884855,79678,1847.63214800,65131007.70656315,0
1610888400000,35124.07000000,35500.00000000,34786.76000000,34841.83000000,2919.10106400,1610891999999,102737842.55470297,71419,1428.30617900,50278587.30064365,0
1610892000000,34841.82000000,35243.64000000,34666.00000000,34750.02000000,2849.00196600,1610895599999,99574705.54992799,70822,1445.98812800,50544082.45977569,0
1610895600000,34750.02000000,35973.89000000,34750.01000000,35728.47000000,4341.23544900,1610899199999,154518610.30102425,98607,2360.22110200,83998148.50677575,0
1610899200000,35728.47000000,36166.47000000,35589.35000000,35910.07000000,3578.88895100,1610902799999,128512404.66708661,85740,1947.54828200,69937489.71982178,0
1610902800000,35914.98000000,36123.14000000,35603.01000000,35837.22000000,2191.92330500,1610906399999,78599736.12711191,60258,1152.32208700,41321755.02532894,0
1610906400000,35837.22000000,35920.63000000,35625.40000000,35678.67000000,1484.55684200,1610909999999,53084102.72106789,47902,806.41096800,28836727.69393613,0
1610910000000,35676.58000000,36000.00000000,35514.99000000,35633.91000000,2043.03718600,1610913599999,73207372.57995978,57800,1072.67926100,38437112.60940556,0
1610913600000,35633.90000000,36099.00000000,35559.84000000,36072.99000000,1917.72224700,1610917199999,68718611.05380223,54608,997.57090700,35751159.67099339,0
1610917200000,36073.88000000,36852.50000000,36073.87000000,36542.96000000,3878.40282400,1610920799999,141647926.97089063,90548,2174.17282800,79388133.99001614,0
1610920800000,36542.97000000,36700.00000000,36000.39000000,36181.16000000,2247.45304400,1610924399999,81931988.77622475,68903,1152.19484600,42011748.13054775,0
1610924400000,36181.16000000,36417.51000000,35506.00000000,35828.61000000,3344.52569300,1610927999999,120685528.51759374,67137,1514.93872800,54718833.48528231,0
1610928000000,35824.99000000,36016.70000000,35551.81000000,35964.20000000,3323.90113900,1610931599999,119159712.14498531,63319,1606.90513300,57614951.95602508,0
1610931600000,35964.19000000,36180.00000000,35605.22000000,36125.44000000,2560.95556400,1610935199999,91877670.63162021,57197,1322.13209400,47415054.10178436,0
1610935200000,36125.43000000,36208.00000000,35681.96000000,35764.66000000,2306.02756600,1610938799999,82867811.65103600,60994,1157.29079100,41596065.11737584,0
1610938800000,35764.60000000,35847.18000000,34842.99000000,35106.25000000,4674.31695400,1610942399999,164878873.04280485,93982,1544.60107200,54470419.47523170,0
1610942400000,35108.27000000,35313.90000000,34908.80000000,35132.11000000,1922.62447200,1610945999999,67496976.81593762,53315,871.84668300,30612537.81032757,0
1610946000000,35132.11000000,35477.06000000,34800.00000000,35344.50000000,2494.06315100,1610949599999,87599615.70178966,57881,1148.89187000,40354532.34420341,0
1610949600000,35344.50000000,35464.04000000,35072.69000000,35195.45000000,1597.76843600,1610953199999,56300358.51333952,45158,759.07017700,26751405.12726972,0
1610953200000,35195.44000000,36278.68000000,35160.30000000,36104.61000000,3917.13156200,1610956799999,140822622.63867726,86613,1950.34315700,70090823.84607675,0
1610956800000,36100.55000000,36450.00000000,36073.13000000,36233.19000000,2494.36415100,1610960399999,90400248.17710538,66340,1332.56138600,48287025.73379767,0
1610960400000,36233.19000000,36650.00000000,36204.15000000,36574.61000000,3077.32729200,1610963999999,112164683.74681694,73640,1632.27271800,59494150.02425426,0
1610964000000,36574.63000000,36633.50000000,36123.53000000,36216.63000000,2686.93417000,1610967599999,97510153.01232437,69740,1357.39864400,49264228.83971603,0
1610967600000,36216.63000000,36537.00000000,35771.60000000,36442.08000000,3460.54194700,1610971199999,124848234.70607834,79307,1736.56814900,62641263.75389621,0
1610971200000,36443.91000000,37469.83000000,36385.00000000,36981.40000000,8243.84424300,1610974799999,305775908.81808934,144888,4863.24389000,180322426.51417220,0
1610974800000,36981.40000000,37050.00000000,36705.00000000,36766.78000000,4234.61810100,1610978399999,156297533.65120046,82229,2534.62857800,93612565.99943434,0
1610978400000,36764.94000000,36985.00000000,36047.89000000,36449.71000000,3586.75998600,1610981999999,130920505.91913583,84095,1736.07612800,63349921.48594530,0
1610982000000,36449.71000000,36600.78000000,36122.00000000,36405.98000000,2041.28462400,1610985599999,74258390.05881229,77583,980.46394600,35670262.49537307,0
1610985600000,36405.99000000,36565.00000000,35831.88000000,36184.31000000,2789.03579100,1610989199999,100823529.48199534,91494,1375.94347200,49748332.70050728,0
1610989200000,36184.31000000,36300.00000000,35400.00000000,35675.28000000,3638.79865400,1610992799999,129994205.62275856,91631,1696.62878400,60627024.14361091,0
1610992800000,35675.29000000,35889.99000000,35532.32000000,35755.62000000,2134.48796900,1610996399999,76289046.58898849,68693,1035.27786600,37005168.86009770,0
1610996400000,35755.62000000,36065.00000000,35695.70000000,35956.14000000,2040.50755300,1610999999999,73280693.30042997,57131,946.07607200,33978503.11621751,0
1611000000000,35951.83000000,36400.00000000,35755.01000000,36102.79000000,2370.49412700,1611003599999,85609502.56222758,54395,1332.89774200,48150352.06874821,0
1611003600000,36102.79000000,36296.90000000,35960.00000000,36198.01000000,1386.55487400,1611007199999,50126918.85569934,42491,664.89071200,24040239.99928700,0
1611007200000,36198.01000000,36529.00000000,36154.65000000,36470.06000000,1403.43502700,1611010799999,51014701.39896737,46332,820.93816000,29849178.95171802,0
1611010800000,36472.46000000,36777.77000000,36271.18000000,36631.27000000,2312.34139700,1611014399999,84525363.48357894,59318,1214.55882400,44400752.70145878,0
1611014400000,36622.46000000,36916.66000000,36364.43000000,36676.89000000,2733.81033300,1611017999999,100190042.59582775,70989,1346.26085000,49334299.94502281,0
1611018000000,36676.89000000,37280.00000000,36644.70000000,36922.44000000,6704.65912700,1611021599999,247774070.39497733,129108,3846.57205200,142188203.13944053,0
1611021600000,36922.44000000,37014.19000000,36579.94000000,36804.11000000,3367.18661300,1611025199999,123941502.60160400,78744,1744.12188300,64193813.99868738,0
1611025200000,36804.10000000,36846.06000000,36416.52000000,36465.30000000,2526.73244200,1611028799999,92552256.07429785,61311,1298.45559000,47563786.05688627,0
1611028800000,36468.31000000,36648.92000000,36233.00000000,36284.71000000,2229.69432800,1611032399999,81295530.87574036,51230,1010.41437500,36848451.16460083,0
1611032400000,36284.71000000,36538.46000000,36018.09000000,36251.18000000,2305.60782700,1611035999999,83784612.18185242,56140,934.13984000,33946658.77044831,0
1611036000000,36249.37000000,36753.31000000,36002.01000000,36599.55000000,2938.25636700,1611039599999,107273641.64034685,64862,1415.02029200,51681856.65860550,0
1611039600000,36599.55000000,37233.87000000,36470.62000000,37168.82000000,3825.66775700,1611043199999,140889599.49682016,92154,1964.40245700,72372674.30573714,0
1611043200000,37167.92000000,37535.27000000,36897.07000000,37197.72000000,5687.62709000,1611046799999,211869865.95048485,107619,3034.97064100,113065745.48353333,0
1611046800000,37197.71000000,37448.41000000,37000.08000000,37040.04000000,3275.36236000,1611050399999,122030475.06305307,71236,1724.20623400,64244428.73524604,0
1611050400000,37040.05000000,37299.51000000,36750.00000000,37110.60000000,3322.07511800,1611053999999,123049352.32166823,69834,1328.51085100,49207075.68565862,0
1611054000000,37110.60000000,37269.00000000,36811.83000000,37266.49000000,2885.73090900,1611057599999,106901741.58528574,77599,1402.45483700,51962298.25692514,0
1611057600000,37263.73000000,37449.00000000,36610.00000000,36782.17000000,4108.41496600,1611061199999,152278198.14634400,92100,1730.49855000,64163858.18672526,0
1611061200000,36782.16000000,37146.87000000,36782.16000000,37082.52000000,2645.54649100,1611064799999,97792760.65281740,67581,1324.55363700,48961142.08308718,0
1611064800000,37082.52000000,37263.49000000,36913.62000000,36992.33000000,2406.25041700,1611068399999,89277069.58574515,64703,1069.51813800,39705332.19867843,0
1611068400000,36992.32000000,37350.00000000,36776.50000000,37329.40000000,2806.43485300,1611071999999,104106538.97294504,66943,1404.23361500,52115774.51995613,0
1611072000000,37329.40000000,37850.00000000,37203.97000000,37366.10000000,5147.02015600,1611075599999,193314306.96778085,126543,2869.30365200,107761235.79806878,0
1611075600000,37366.09000000,37522.80000000,37015.00000000,37162.40000000,2476.82564300,1611079199999,92216774.40900947,78320,1214.50495400,45227795.62240386,0
1611079200000,37162.40000000,37162.40000000,36500.00000000,36500.00000000,3818.66238300,1611082799999,140689545.76037489,118795,1692.17083000,62377256.77651533,0
1611082800000,36500.00000000,36800.00000000,36052.04000000,36279.82000000,4162.25155900,1611086399999,151554221.32889008,114988,1957.58787000,71291448.04910801,0
1611086400000,36281.66000000,36596.17000000,36100.00000000,36436.26000000,2878.69976000,1611089999999,104712135.13559804,79424,1352.60632600,49213231.43077645,0
1611090000000,36436.26000000,36777.88000000,36381.91000000,36452.22000000,2721.21472400,1611093599999,99532432.86427794,71077,1212.26831800,44337485.23711049,0
1611093600000,36452.22000000,36769.23000000,36325.63000000,36632.82000000,1252.40187500,1611097199999,45792766.57334137,51288,625.76904900,22887232.37383150,0
1611097200000,36632.82000000,36722.71000000,35844.06000000,35891.49000000,3385.17467100,1611100799999,122529058.16513122,76783,1202.13677900,43584625.37491600,0
1611100800000,35901.94000000,36350.00000000,35610.17000000,36314.04000000,3376.90801800,1611104399999,121611981.70825795,76065,1698.15315300,61156956.22671120,0
1611104400000,36313.94000000,36415.31000000,36000.00000000,36105.27000000,2185.60381300,1611107999999,79107661.42393211,70193,1077.48775100,39004567.83224275,0
1611108000000,36105.27000000,36125.86000000,35708.08000000,36080.90000000,2649.68717500,1611111599999,95147817.46514127,69392,1282.47330300,46066789.90461259,0
1611111600000,36080.90000000,36100.00000000,35000.00000000,35062.49000000,5563.39287800,1611115199999,197187021.19787029,124477,2272.89640800,80605174.15458207,0
1611115200000,35062.49000000,35440.00000000,34737.00000000,35251.36000000,4580.64004600,1611118799999,160879898.10346283,108135,2104.06392600,73956001.12289178,0
1611118800000,35252.03000000,35500.01000000,35192.87000000,35477.18000000,2705.03601800,1611122399999,95634099.26116358,71627,1199.81019100,42430522.42932393,0
1611122400000,35477.18000000,35909.95000000,35133.68000000,35262.93000000,3973.87904500,1611125999999,140868658.81284165,86408,1785.62381700,63336669.13924939,0
1611126000000,35262.92000000,35884.79000000,35200.00000000,35677.14000000,2748.94867800,1611129599999,97892499.61234258,79497,1386.64800500,49379610.93213742,0
1611129600000,35672.86000000,35939.12000000,35350.46000000,35475.45000000,2722.80538600,1611133199999,96980265.92600699,86204,1293.43909300,46069195.51314113,0
1611133200000,35475.46000000,35566.80000000,34500.00000000,34801.83000000,5641.77378600,1611136799999,197316362.11893461,120493,2607.87075100,91216916.63868137,0
1611136800000,34801.46000000,34979.59000000,34345.11000000,34721.51000000,5228.27214100,1611140399999,181383448.50979843,128848,2720.33736200,94408050.83412549,0
1611140400000,34721.50000000,34867.99000000,34000.00000000,34426.17000000,5516.47424200,1611143999999,189555636.68479760,139619,2482.03951200,85314827.40123212,0
1611144000000,34426.17000000,34797.73000000,34020.00000000,34717.66000000,4980.58747900,1611147599999,171988282.93936077,121366,2574.47427300,88944358.51221264,0
1611147600000,34717.66000000,34983.77000000,34210.00000000,34958.56000000,3863.83288600,1611151199999,133781075.37984111,104474,1813.88878900,62833859.54875768,0
1611151200000,34958.56000000,35142.18000000,34800.14000000,34873.96000000,3575.82907500,1611154799999,125026667.28062037,84043,1635.95581900,57189524.59525745,0
1611154800000,34875.87000000,35049.96000000,34067.16000000,34192.17000000,3689.93592300,1611158399999,127624139.98722324,89817,1638.37368800,56695477.13228186,0
1611158400000,34193.11000000,34733.00000000,33400.00000000,34693.65000000,9164.62629900,1611161999999,312303193.17566532,175841,4045.27824700,137920325.77367834,0
1611162000000,34694.65000000,35100.01000000,34558.25000000,34849.99000000,3580.94135600,1611165599999,124627004.47361672,89168,1909.51171400,66478899.60394461,0
1611165600000,34843.52000000,35266.72000000,34765.24000000,35250.61000000,2311.69306900,1611169199999,80828379.66206621,73056,1216.49186900,42547920.77330436,0
1611169200000,35250.39000000,35311.00000000,34851.23000000,35197.12000000,2620.95376500,1611172799999,92029638.11022864,67359,1406.95759100,49407891.56166645,0
1611172800000,35197.12000000,35318.39000000,34734.97000000,34957.15000000,1987.73025600,1611176399999,69621129.92197612,74431,955.36540500,33465910.76386969,0
1611176400000,34957.15000000,35110.82000000,34482.75000000,34892.89000000,2130.64840700,1611179999999,74053301.33840012,61510,1075.47654700,37388219.82147555,0
1611180000000,34892.90000000,35100.00000000,34748.09000000,34954.86000000,1119.62218200,1611183599999,39153067.93844396,47851,568.32500200,19877160.96407081,0
1611183600000,34955.94000000,35670.00000000,34798.39000000,35468.23000000,3448.60099500,1611187199999,122119862.48878375,84665,1795.69186100,63595137.25701945,0
1611187200000,35468.23000000,35600.00000000,35077.35000000,35293.21000000,2017.77200300,1611190799999,71244148.51224691,62415,1021.63117800,36087350.09733232,0
1611190800000,35293.21000000,35384.20000000,34622.50000000,34784.69000000,2831.35322600,1611194399999,98887264.92537901,74678,1262.77622800,44091985.16186371,0
1611194400000,34784.69000000,34831.42000000,34364.75000000,34560.12000000,3087.99981800,1611197999999,106807489.54912612,69030,1554.61918500,53775405.41995120,0
1611198000000,34560.11000000,34821.60000000,34230.76000000,34571.09000000,3058.58303700,1611201599999,105595669.67910814,70428,1473.75077400,50892519.05477928,0
1611201600000,34572.42000000,34923.07000000,34160.05000000,34246.48000000,3255.93055700,1611205199999,112476080.02982139,76518,1539.42868300,53190056.10502087,0
1611205200000,34247.92000000,34619.66000000,33971.41000000,34562.70000000,3522.77822700,1611208799999,120817978.88212674,92193,1599.65898900,54904740.12478541,0
1611208800000,34562.69000000,34805.16000000,34500.36000000,34661.83000000,2361.03375100,1611212399999,81807739.72141545,75006,1199.46049800,41562588.31422136,0
1611212400000,34661.83000000,35019.01000000,34550.00000000,34624.27000000,2505.29344900,1611215999999,87147969.00878534,63295,1228.59391200,42741599.36104081,0
1611216000000,34624.27000000,34681.73000000,33195.00000000,33239.00000000,7574.11231900,1611219599999,256464070.98831367,156722,3171.30735400,107516947.59598245,0
1611219600000,33237.74000000,33500.00000000,32540.00000000,32878.33000000,10141.56880600,1611223199999,334459993.10114840,203209,4561.51833100,150456181.95340321,0
1611223200000,32880.08000000,33067.87000000,32009.68000000,32826.62000000,7957.20654900,1611226799999,259185487.08244076,168066,3798.64234100,123773284.11724001,0
1611226800000,32826.63000000,33000.00000000,32153.16000000,32208.62000000,6499.19839800,1611230399999,211753312.32663698,125838,3204.18771100,104419502.87409633,0
1611230400000,32206.89000000,32693.16000000,31300.00000000,32475.34000000,10991.83004600,1611233999999,351602776.61161555,210145,4995.90744800,159923479.15384346,0
1611234000000,32474.48000000,32784.31000000,32200.00000000,32304.44000000,4837.42355100,1611237599999,157188043.77176227,111987,2473.43810100,80383165.63062022,0
1611237600000,32306.39000000,32450.00000000,31037.00000000,31180.19000000,10854.17362800,1611241199999,343341285.95402469,195527,5307.01795700,167967184.25189701,0
1611241200000,31181.74000000,32047.40000000,31060.81000000,31384.09000000,7812.91775300,1611244799999,246568404.98001047,160355,3964.48055700,125218094.59949896,0
1611244800000,31384.19000000,32210.38000000,31050.00000000,31083.50000000,7922.45751300,1611248399999,251118366.34818641,152038,3639.73915500,115545814.09881622,0
1611248400000,31084.98000000,32006.43000000,31038.51000000,31912.38000000,4587.71659700,1611251999999,144988372.99906577,108210,2374.03657900,75112391.40357297,0
1611252000000,31912.37000000,32101.00000000,31432.64000000,31742.68000000,3560.62585300,1611255599999,113025685.87936468,83931,1872.01061300,59456743.65825674,0
1611255600000,31744.26000000,32751.24000000,31600.00000000,32468.66000000,5995.57574200,1611259199999,194294216.97572609,130883,2972.32121000,96300929.09307729,0
1611259200000,32468.66000000,32550.00000000,31862.69000000,31883.01000000,4446.73367500,1611262799999,143406305.30422066,92561,1814.44124300,58508525.20428002,0
1611262800000,31880.90000000,32131.52000000,31200.00000000,31229.71000000,4096.66507900,1611266399999,129806970.95052316,79250,1825.16546300,57897971.72882060,0
1611266400000,31224.71000000,31249.02000000,30071.00000000,30913.18000000,9566.50417200,1611269999999,293192620.80555366,198964,3536.58837400,108389286.36409143,0
1611270000000,30913.17000000,31571.88000000,30579.48000000,30850.13000000,5518.62290900,1611273599999,171603332.11762323,120256,2865.48856400,89124771.25270078,0
1611273600000,30851.99000000,30863.98000000,29223.03000000,29528.31000000,16556.09618500,1611277199999,494734301.86225019,257851,7490.34896700,223742028.44830141,0
1611277200000,29524.48000000,30436.26000000,28850.00000000,30068.29000000,17679.88047700,1611280799999,523137082.67972788,257625,8588.39663800,254114235.14214405,0
1611280800000,30068.29000000,30849.98000000,29781.20000000,30710.91000000,8224.70597000,1611284399999,250104284.40121874,153325,4154.34427500,126324892.96417764,0
1611284400000,30710.92000000,31029.79000000,30282.97000000,30943.40000000,4353.71025500,1611287999999,133375842.77548401,94621,2257.37116100,69178850.32926977,0
1611288000000,30943.40000000,31414.00000000,30753.27000000,30919.60000000,5349.74113100,1611291599999,166190726.32666313,103652,2433.86826000,75616126.17399213,0
1611291600000,30919.59000000,31924.44000000,30711.66000000,31800.93000000,5843.71142700,1611295199999,184028420.51132878,97216,2954.25431800,92987757.57327702,0
1611295200000,31814.81000000,32152.90000000,31500.26000000,31542.75000000,5707.04325300,1611298799999,181417832.95727041,101619,2327.26440200,74020366.79427423,0
1611298800000,31542.60000000,31878.20000000,30615.22000000,30842.45000000,5871.33017100,1611302399999,182994945.92512728,113549,2627.26092500,81919904.41999024,0
1611302400000,30846.59000000,31636.99000000,30500.00000000,31526.30000000,5959.97399200,1611305999999,184580319.09360101,148350,3123.54124000,96718684.26877291,0
1611306000000,31526.31000000,31799.98000000,31258.94000000,31414.59000000,5197.32705000,1611309599999,163847968.57535826,105289,2724.63723100,85916580.20164027,0
1611309600000,31412.74000000,31766.01000000,31052.44000000,31386.37000000,4556.22050700,1611313199999,142759014.01477801,96070,2228.28144400,69812436.52517869,0
1611313200000,31386.37000000,31997.00000000,31375.49000000,31710.88000000,6197.72471400,1611316799999,196955755.04950245,103543,3508.78822400,111526297.53345808,0
1611316800000,31712.09000000,31995.00000000,31286.00000000,31550.00000000,5176.96354800,1611320399999,163881684.27671369,95270,2748.62371400,87060695.91900743,0
1611320400000,31550.00000000,32322.56000000,31334.02000000,32141.80000000,6045.55706900,1611323999999,193650798.12282147,111611,2975.38234300,95276300.41957483,0
1611324000000,32141.80000000,32537.67000000,32132.59000000,32516.74000000,5791.99130300,1611327599999,187566596.45637194,112187,2664.69415800,86304086.50129477,0
1611327600000,32516.74000000,32767.44000000,32265.66000000,32458.42000000,4727.18649900,1611331199999,153659972.96999938,111537,2339.77124900,76061260.77114846,0
1611331200000,32462.79000000,32626.00000000,31955.67000000,32377.56000000,4665.55497100,1611334799999,150975577.63273878,93129,2398.24543500,77595982.77464377,0
1611334800000,32377.56000000,32500.00000000,32070.70000000,32329.25000000,2777.80265900,1611338399999,89671638.37049859,61647,1315.92704100,42485374.92433076,0
1611338400000,32329.25000000,33322.00000000,32185.44000000,33277.32000000,5488.66573200,1611341999999,179938517.21390338,103780,3001.64580800,98517818.42696697,0
1611342000000,33275.67000000,33655.79000000,33098.86000000,33589.52000000,4699.14183300,1611345599999,156981142.73572678,97136,2220.53795100,74185015.25059314,0
1611345600000,33589.52000000,33826.53000000,33320.22000000,33503.20000000,3725.03294500,1611349199999,125120103.06772533,99864,1687.72335500,56695170.71714831,0
1611349200000,33501.36000000,33668.88000000,33192.13000000,33290.01000000,2586.47012100,1611352799999,86484959.34566229,57890,1214.64288800,40615109.04973645,0
1611352800000,33290.01000000,33606.16000000,32760.00000000,32835.29000000,2591.01826000,1611356399999,85932081.85096645,63029,1339.60618300,44407872.57019493,0
1611356400000,32835.29000000,33173.01000000,32580.00000000,32945.17000000,3198.83397700,1611359999999,105306305.80683445,68020,1825.03124500,60078722.79955450,0
1611360000000,32950.00000000,32974.89000000,32400.00000000,32702.18000000,3359.61255400,1611363599999,109495931.14066298,86521,1596.99420000,52048849.37696274,0
1611363600000,32702.18000000,32935.08000000,32237.39000000,32706.76000000,3198.93051300,1611367199999,104362190.54273436,75853,1719.87681600,56131036.23762754,0
1611367200000,32706.77000000,32860.00000000,32053.33000000,32256.17000000,3543.41263800,1611370799999,114730754.32306910,73178,2009.01377100,65064337.26398425,0
1611370800000,32256.17000000,32612.00000000,32200.00000000,32365.01000000,2109.56632500,1611374399999,68388995.24540523,50704,1124.35221300,36451025.53268562,0
1611374400000,32365.00000000,32810.00000000,32300.00000000,32582.01000000,2171.59810500,1611377999999,70886156.14103222,61611,1152.39069900,37617353.46885036,0
1611378000000,32582.01000000,33378.52000000,32267.07000000,33350.60000000,3432.48724800,1611381599999,112750693.87171465,82778,1815.71824000,59676789.75466644,0
1611381600000,33357.15000000,33456.00000000,32771.99000000,32820.11000000,3459.27026200,1611385199999,114696218.50447876,86917,1632.52496900,54146912.77462088,0
1611385200000,32820.11000000,33150.00000000,32676.15000000,32931.18000000,2401.16107600,1611388799999,78955447.93697194,64338,1225.14128300,40289472.48523587,0
1611388800000,32931.17000000,33000.00000000,32597.76000000,32943.24000000,2294.69006100,1611392399999,75242590.24286201,65598,1181.66516100,38742287.83489750,0
1611392400000,32943.24000000,33104.94000000,32350.00000000,32453.56000000,3494.21218400,1611395999999,114281787.75036651,86858,1682.71062300,55063934.41630740,0
1611396000000,32453.56000000,32532.37000000,32171.00000000,32344.37000000,2788.78403400,1611399599999,90158382.55879761,90131,1407.31815800,45503163.12264036,0
1611399600000,32344.37000000,32542.37000000,31511.24000000,31645.49000000,4876.61961600,1611403199999,155421648.79950466,114476,2366.39363100,75389154.51463057,0
1611403200000,31643.90000000,32001.28000000,31469.25000000,31602.63000000,2832.03585600,1611406799999,89995749.36806307,82125,1482.74167000,47137095.64828731,0
1611406800000,31604.51000000,32289.25000000,31390.16000000,31865.19000000,3721.34108400,1611410399999,118464339.62025283,95038,2026.49855300,64515115.11558662,0
1611410400000,31865.19000000,31980.00000000,31650.00000000,31721.74000000,2196.24159200,1611413999999,69824254.71730175,65547,1033.45308100,32862885.30435583,0
1611414000000,31719.94000000,32180.00000000,31609.05000000,31877.10000000,2104.61671700,1611417599999,67298734.35128252,61911,1092.15660800,34924429.28608447,0
1611417600000,31877.10000000,32328.03000000,31759.65000000,32121.84000000,2518.06613900,1611421199999,80752741.53370140,79587,1329.27819800,42644211.27737038,0
1611421200000,32120.31000000,32409.97000000,32044.77000000,32239.09000000,2251.77458200,1611424799999,72497536.19198385,69594,1186.89480500,38215766.98575053,0
1611424800000,32238.80000000,32345.00000000,31825.00000000,32167.48000000,2438.10419100,1611428399999,78273000.74346228,57407,1114.08513700,35766365.54075967,0
1611428400000,32169.92000000,32500.00000000,32138.24000000,32348.79000000,2045.51433100,1611431999999,66125445.50675190,51425,995.62414300,32183374.17893218,0
1611432000000,32348.78000000,32400.00000000,32021.73000000,32191.33000000,1524.95791900,1611435599999,49086641.98185392,44347,719.01656600,23142927.32853177,0
1611435600000,32192.93000000,32442.68000000,31812.50000000,32344.22000000,2255.05685100,1611439199999,72529349.69565234,61725,1137.58245800,36600018.68789374,0
1611439200000,32344.21000000,32538.61000000,31966.47000000,32049.97000000,1596.25194500,1611442799999,51491464.30404120,52393,819.23978100,26441108.79739147,0
1611442800000,32050.03000000,32122.78000000,31835.85000000,32078.00000000,1980.98185200,1611446399999,63388240.68648952,39994,830.10536400,26556559.61817374,0
1611446400000,32078.00000000,32086.75000000,31630.00000000,31876.35000000,2459.15967200,1611449999999,78349771.12170719,62163,1188.93801600,37879936.69394955,0
1611450000000,31876.35000000,32084.91000000,31752.81000000,31863.84000000,1404.06207100,1611453599999,44865889.76254837,41407,709.94800200,22689764.91278492,0
1611453600000,31860.76000000,32300.00000000,31784.66000000,32096.04000000,1774.93647700,1611457199999,56950530.36653801,47793,921.97673500,29583099.90476307,0
